sample_ID	campaign	station	event	date_time	latitude	longitude	depth	sample_method	biome	ocean_region	biogeographic_province	size_fraction	depth_nominal	temperature	SST	SST_grad	O2	NO3	NO2	NO3NO2	PO43	SiOH4	Fe	NH4	ChlA	ChlA_fluo	fluorescence	PAR	NPP_C_mean8days	POC	PIC	SSD	bathymetry	coast_distance	Okubo_Weiss	Lyapunov	residence_time	age	salinity	angular_scattering_coef	optical_backscattering_coef	particle_backscattering_coef	optical_attenuation_coef	particle_optical_attenuation_coef	depth_mix_layer	depth_ChlA_max	depth_max_Brunt	depth_max_O2	depth_min_O2	depth_nitracline
TARA_A100000005	TARA_20091019Z	TARA_014	NET	2009-10-20T17:27	39.91	12.8266	SRF	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	20-180	5	21.6182	20.559598375	0.72074	211.5	0.029376725	0.039985831	0	0.04	0.8	0.001387853	0.009944823	0.03	18.1147	NA	31.545631	NA	42.8190078735352	0.000182669282366987	658	-3617	112.1777	0.178376	0.112674	0	72	38.113	0.000444	-0.000143	0.001391	0.0926	0.071088	35	82	43	38	300	NA
TARA_A100000032	TARA_20091025Z	TARA_016	PUMP	2009-10-27T08:22	37.4956	15.4945	SRF	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	0.8-5	5	20.6606	20.446670875	0.93822	210.1	0.048262811	0.040637217	0	0.04	0.67	0.001387897	0.004815927	0.03	19.3765	NA	30.520855	NA	57.6183929443359	0.000249218617682345	648	-2049	30.1662	-0.010883	NA	3.888889	120	38.133	0.00048	-0.000106	0.001635	0.0894	0.072677	31	72	41	40.333	472.333	NA
TARA_A100000035	TARA_20091025Z	TARA_016	PUMP	2009-10-27T13:50	37.4532	15.4596	DCM	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	0.8-5	65	18.2497	20.4790255	0.9472	220.8	0.048262811	0.040637217	0	0.04	1.34	0.001387897	0.004815927	0.05	19.9997	NA	30.520855	NA	57.0295104980469	0.000245829782215878	648	-2034	29.9948	-0.010883	NA	3.888889	120	38.262	0.000487	-0.0001	0.001675	0.0904	0.073665	31	72	41	40.333	472.333	NA
TARA_A100000038	TARA_20091025Z	TARA_016	PUMP	2009-10-27T08:22	37.4956	15.4945	SRF	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	5-20	5	20.6606	20.446670875	0.93822	210.1	0.048262811	0.040637217	0	0.04	0.67	0.001387897	0.004815927	0.03	19.3765	NA	30.520855	NA	57.6183929443359	0.000249218617682345	648	-2049	30.1662	-0.010883	NA	3.888889	120	38.133	0.00048	-0.000106	0.001635	0.0894	0.072677	31	72	41	40.333	472.333	NA
TARA_A100000039	TARA_20091025Z	TARA_016	PUMP	2009-10-27T13:50	37.4532	15.4596	DCM	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	5-20	65	18.2497	20.4790255	0.9472	220.8	0.048262811	0.040637217	0	0.04	1.34	0.001387897	0.004815927	0.05	19.9997	NA	30.520855	NA	57.0295104980469	0.000245829782215878	648	-2034	29.9948	-0.010883	NA	3.888889	120	38.262	0.000487	-0.0001	0.001675	0.0904	0.073665	31	72	41	40.333	472.333	NA
TARA_A100000130	TARA_20091025Z	TARA_017	NET	2009-10-28T13:00	36.2749	14.3068	SRF	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	20-180	5	NA	21.03021925	2.4781	NA	0.013768388	0.028052955	NA	NA	NA	0.001387889	0.008986401	NA	18.3267	NA	31.029247	NA	44.8671283721924	0.000127822982904036	649	-559	23.5115	-0.5862	0.048917	5.416667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_A100000134	TARA_20091025Z	TARA_017	NET	2009-10-28T14:45	36.253	14.3033	DCM	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	20-180	90	NA	21.03021925	2.4781	NA	0.013768388	0.028052955	NA	NA	NA	0.001387889	0.008986401	NA	18.3267	NA	31.029247	NA	43.7937870025635	0.000111427605588688	649	-559	23.5115	-0.5862	0.048917	5.416667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_A100000357	TARA_20091111Z	TARA_024	NET	2009-11-21T13:19	42.4593	17.9594	SRF	SEQ-(500mL-or-15min)_N180-2000	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	180-2000	5	18.6226	16.51419475	0.52321	217.6	0.071094184	0.024026873	0.1	0.01	2.18	0.001387825	0.001503085	0.08	14.1959	NA	16.040476	NA	108.700202941895	0.000318195219733752	575	-334	23.615	NA	0	1.25	0	37.93	0.000672	0.000093	0.002958	0.1639	0.149253	4	44	47	32	164	NA
TARA_A100000360	TARA_20091111Z	TARA_024	NET	2009-11-21T11:35	42.456	17.9393	SRF	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	20-180	5	18.1426	16.51419475	0.52321	218.5	0.071094184	0.024026873	0.1	0.01	2.18	0.001387825	0.001503085	0.05	14.1959	NA	17.048246	NA	107.98218536377	0.00025063371140277	575	-334	23.615	NA	0	1.25	0	38.114	0.000567	-0.000012	0.002232	0.1353	0.120698	4	44	47	32	164	NA
TARA_A100000362	TARA_20091111Z	TARA_024	PUMP	2009-11-21T11:10	42.4552	17.9348	SRF	SEQ-(100L-or-15min)_W0.8-20	Westerlies Biome	MS	Mediterranean Sea, Black Sea Province	0.8-20	5	18.1426	16.51419475	0.52321	218.5	0.071094184	0.024026873	0.1	0.01	2.18	0.001387825	0.001503085	0.05	14.1959	NA	17.048246	NA	107.98218536377	0.00025063371140277	575	-334	23.615	NA	0	1.25	0	38.114	0.000567	-0.000012	0.002232	0.1353	0.120698	4	44	47	32	164	NA
